date,area,pVMI_total,pVMI_covid,VMI_total,VMI_out
6/1/2020,Oriente,0.842,0.812,85,
6/1/2020,Sur,0.938,0.866,91,
6/1/2020,Sur Oriente,0.98,0.941,99,
6/1/2020,Total,0.935,0.902,564,0.173519164
6/2/2020,Central,0.935,0.935,130,
6/2/2020,Norte,0.912,0.853,31,
6/2/2020,Occidente,0.972,0.936,137,
6/2/2020,Oriente,0.832,0.832,84,
6/2/2020,Sur,0.876,0.835,85,
6/2/2020,Sur Oriente,0.961,0.922,99,
6/2/2020,Total,0.92,0.896,566,0.183256427
6/3/2020,Central,0.908,0.894,,
6/3/2020,Norte,0.824,0.765,,
6/3/2020,Occidente,0.95,0.908,,
6/3/2020,Oriente,0.861,0.812,,
6/3/2020,Sur,0.918,0.857,,
6/3/2020,Sur Oriente,0.925,0.872,,
6/3/2020,Total,0.91,0.862,,0.195722618
6/4/2020,Central,0.921,0.906,128,
6/4/2020,Norte,0.824,0.735,28,
6/4/2020,Occidente,0.965,0.93,138,
6/4/2020,Oriente,0.822,0.792,83,
6/4/2020,Sur,0.96,0.869,95,
6/4/2020,Sur Oriente,0.896,0.858,95,
6/4/2020,Total,0.912,0.87,567,0.201168073
6/5/2020,Central,0.79,0.79,124,
6/5/2020,Norte,0.853,0.765,29,
6/5/2020,Occidente,0.979,0.929,138,
6/5/2020,Oriente,0.812,0.762,82,
6/5/2020,Sur,0.947,0.84,89,
6/5/2020,Sur Oriente,0.915,0.877,97,
6/5/2020,Total,0.883,0.837,559,0.172320217
6/6/2020,Central,0.797,0.797,122,
6/6/2020,Norte,0.941,0.882,32,
6/6/2020,Occidente,0.993,0.952,145,
6/6/2020,Oriente,0.832,0.792,84,
6/6/2020,Sur,0.929,0.837,91,
6/6/2020,Sur Oriente,0.964,0.909,106,
6/6/2020,Total,0.903,0.861,508,0.198473282
6/7/2020,Central,0.873,0.778,138,
6/7/2020,Norte,0.941,0.882,32,
6/7/2020,Occidente,0.938,0.857,151,
6/7/2020,Oriente,0.792,0.752,80,
6/7/2020,Sur,0.949,0.837,93,
6/7/2020,Sur Oriente,0.972,0.926,105,
6/7/2020,Total,0.908,0.832,599,0.185958254
6/8/2020,Central,0.864,0.821,140,
6/8/2020,Norte,0.882,0.882,30,
6/8/2020,Occidente,0.943,0.893,150,
6/8/2020,Oriente,0.851,0.812,86,
6/8/2020,Sur,0.94,0.92,94,
6/8/2020,Sur Oriente,0.982,0.929,110,
6/8/2020,Total,0.913,0.873,610,0.209854015
6/9/2020,Central,0.81,0.804,132,
6/9/2020,Norte,0.941,0.882,32,
6/9/2020,Occidente,0.938,0.894,151,
6/9/2020,Oriente,0.881,0.832,89,
6/9/2020,Sur,0.93,0.87,93,
6/9/2020,Sur Oriente,0.956,0.894,108,
6/9/2020,Total,0.9,0.859,605,0.202431611
6/10/2020,Central,0.804,0.804,131,
6/10/2020,Norte,0.882,0.824,30,
6/10/2020,Occidente,0.918,0.865,156,
6/10/2020,Oriente,0.939,0.889,93,
6/10/2020,Sur,0.93,0.88,93,
6/10/2020,Sur Oriente,0.911,0.884,102,
6/10/2020,Total,0.892,0.857,605,0.203907204
6/11/2020,Central,0.871,0.834,142,
6/11/2020,Norte,0.853,0.824,29,
6/11/2020,Occidente,0.913,0.89,158,
6/11/2020,Oriente,0.919,0.848,91,
6/11/2020,Sur,0.93,0.87,93,
6/11/2020,Sur Oriente,0.929,0.893,104,
6/11/2020,Total,0.906,0.865,617,0.198787879
6/12/2020,Central,0.877,0.834,143,
6/12/2020,Norte,0.912,0.882,31,
6/12/2020,Occidente,0.887,0.859,157,
6/12/2020,Oriente,0.911,0.822,92,
6/12/2020,Sur,0.9,0.83,90,
6/12/2020,Sur Oriente,0.965,0.93,111,
6/12/2020,Total,0.904,0.857,624,0.210464433
6/13/2020,Central,0.975,0.905,154,
6/13/2020,Norte,0.765,0.735,26,
6/13/2020,Occidente,0.911,0.889,164,
6/13/2020,Oriente,0.889,0.828,88,
6/13/2020,Sur,0.961,0.854,99,
6/13/2020,Sur Oriente,0.914,0.871,106,
6/13/2020,Total,0.923,0.868,637,0.195870206
6/14/2020,Central,0.853,0.84,139,
6/14/2020,Norte,0.794,0.765,27,
6/14/2020,Occidente,0.852,0.83,255,
6/14/2020,Oriente,0.869,0.838,86,
6/14/2020,Sur,0.961,0.854,99,
6/14/2020,Sur Oriente,0.866,0.832,103,
6/14/2020,Total,0.87,0.834,609,0.199762188
6/15/2020,Central,0.853,0.853,139,
6/15/2020,Norte,0.853,0.824,29,
6/15/2020,Occidente,0.862,0.834,156,
6/15/2020,Oriente,0.909,0.879,90,
6/15/2020,Sur,0.971,0.893,100,
6/15/2020,Sur Oriente,0.896,0.878,103,
6/15/2020,Total,0.888,0.86,617,0.222863741
6/16/2020,Central,0.853,0.834,139,
6/16/2020,Norte,0.912,0.882,31,
6/16/2020,Occidente,0.846,0.813,154,
6/16/2020,Oriente,0.871,0.851,88,
6/16/2020,Sur,0.981,0.935,105,
6/16/2020,Sur Oriente,0.941,0.915,111,
6/16/2020,Total,0.891,0.862,628,0.204452255
6/17/2020,Central,0.939,0.92,153,
6/17/2020,Norte,0.882,0.853,30,
6/17/2020,Occidente,0.881,0.843,163,
6/17/2020,Oriente,0.946,0.885,140,
6/17/2020,Sur,0.943,0.849,50,
6/17/2020,Sur Oriente,0.938,0.923,122,
6/17/2020,Total,0.923,0.885,658,0.195942029
6/18/2020,Central,0.93,0.886,106,
6/18/2020,Norte,0.903,0.742,28,
6/18/2020,Occidente,0.904,0.819,85,
6/18/2020,Oriente,0.699,0.687,58,
6/18/2020,Sur,0.907,0.72,68,
6/18/2020,Sur Oriente,0.937,0.793,104,
6/18/2020,Total,0.884,0.787,449,0.194492255
6/19/2020,Central,0.908,0.902,148,
6/19/2020,Norte,0.824,0.824,28,
6/19/2020,Occidente,0.824,0.798,155,
6/19/2020,Oriente,0.861,0.842,87,
6/19/2020,Sur,0.949,0.932,111,
6/19/2020,Sur Oriente,0.898,0.881,106,
6/19/2020,Total,0.881,0.864,635,0.18997669
6/20/2020,Central,0.877,0.871,143,
6/20/2020,Norte,0.912,0.882,31,
6/20/2020,Occidente,0.846,0.83,159,
6/20/2020,Oriente,0.881,0.861,89,
6/20/2020,Sur,0.967,0.908,116,
6/20/2020,Sur Oriente,0.915,0.881,108,
6/20/2020,Total,0.892,0.867,646,0.173403632
6/21/2020,Central,0.902,0.896,147,
6/21/2020,Norte,0.853,0.853,29,
6/21/2020,Occidente,0.911,0.905,163,
6/21/2020,Oriente,0.891,0.861,90,
6/21/2020,Sur,0.887,0.843,102,
6/21/2020,Sur Oriente,0.907,0.881,107,
6/21/2020,Total,0.899,0.88,638,0.178106509
