id,comuna,n,date,address,address2,empty_address,lat,lon,aprox,region,zoom
,Quinta Normal,84,4/12/2020,"Quinta Normal, Region de Metropolitana, Chile","Quinta+Normal,+Region+de+Metropolitana,+Chile",0,-33.4317378,-70.6923917,0,Metropolitana,
,Recoleta,61,4/9/2020,"Recoleta, Region de Metropolitana, Chile","Recoleta,+Region+de+Metropolitana,+Chile",0,-33.4061916,-70.6336176,0,Metropolitana,
,Recoleta,73,4/12/2020,"Recoleta, Region de Metropolitana, Chile","Recoleta,+Region+de+Metropolitana,+Chile",0,-33.4061916,-70.6336176,0,Metropolitana,
,Renca,28,4/9/2020,"Renca, Region de Metropolitana, Chile","Renca,+Region+de+Metropolitana,+Chile",0,-33.4063601,-70.7279965,0,Metropolitana,
,Renca,42,4/12/2020,"Renca, Region de Metropolitana, Chile","Renca,+Region+de+Metropolitana,+Chile",0,-33.4063601,-70.7279965,0,Metropolitana,
,San Bernardo,117,4/9/2020,"San Bernardo, Region de Metropolitana, Chile","San+Bernardo,+Region+de+Metropolitana,+Chile",0,-33.5854485,-70.6987361,0,Metropolitana,
,San Bernardo,140,4/12/2020,"San Bernardo, Region de Metropolitana, Chile","San+Bernardo,+Region+de+Metropolitana,+Chile",0,-33.5854485,-70.6987361,0,Metropolitana,
,San Joaquin,52,4/9/2020,"San Joaquin, Region de Metropolitana, Chile","San+Joaquin,+Region+de+Metropolitana,+Chile",0,-33.496202,-70.6283361,0,Metropolitana,
,San Joaquin,58,4/12/2020,"San Joaquin, Region de Metropolitana, Chile","San+Joaquin,+Region+de+Metropolitana,+Chile",0,-33.496202,-70.6283361,0,Metropolitana,
,San Jose de Maipo,4,4/9/2020,"San Jose de Maipo, Region de Metropolitana, Chile","San+Jose+de+Maipo,+Region+de+Metropolitana,+Chile",0,-33.643169,-70.345207,0,Metropolitana,
,San Jose de Maipo,4,4/12/2020,"San Jose de Maipo, Region de Metropolitana, Chile","San+Jose+de+Maipo,+Region+de+Metropolitana,+Chile",0,-33.643169,-70.345207,0,Metropolitana,
,San Miguel,69,4/9/2020,"San Miguel, Region de Metropolitana, Chile","San+Miguel,+Region+de+Metropolitana,+Chile",0,-33.4923545,-70.651797,0,Metropolitana,
,San Miguel,86,4/12/2020,"San Miguel, Region de Metropolitana, Chile","San+Miguel,+Region+de+Metropolitana,+Chile",0,-33.4923545,-70.651797,0,Metropolitana,
,San Ramon,18,4/9/2020,"San Ramon, Region de Metropolitana, Chile","San+Ramon,+Region+de+Metropolitana,+Chile",0,-33.5510207,-70.6464256,0,Metropolitana,
,San Ramon,20,4/12/2020,"San Ramon, Region de Metropolitana, Chile","San+Ramon,+Region+de+Metropolitana,+Chile",0,-33.5510207,-70.6464256,0,Metropolitana,
,Santiago,321,4/9/2020,"Santiago, Region de Metropolitana, Chile","Santiago,+Region+de+Metropolitana,+Chile",0,-33.4375545,-70.6504896,0,Metropolitana,
,Santiago,375,4/12/2020,"Santiago, Region de Metropolitana, Chile","Santiago,+Region+de+Metropolitana,+Chile",0,-33.4375545,-70.6504896,0,Metropolitana,
,Talagante,18,4/9/2020,"Talagante, Region de Metropolitana, Chile","Talagante,+Region+de+Metropolitana,+Chile",0,-33.6625182,-70.9249706,0,Metropolitana,
,Talagante,21,4/12/2020,"Talagante, Region de Metropolitana, Chile","Talagante,+Region+de+Metropolitana,+Chile",0,-33.6625182,-70.9249706,0,Metropolitana,
,Tiltil,4,4/9/2020,"Tiltil, Region de Metropolitana, Chile","Tiltil,+Region+de+Metropolitana,+Chile",0,-33.0838906,-70.9279843,0,Metropolitana,
,Tiltil,4,4/12/2020,"Tiltil, Region de Metropolitana, Chile","Tiltil,+Region+de+Metropolitana,+Chile",0,-33.0838906,-70.9279843,0,Metropolitana,
,Vitacura,119,4/9/2020,"Vitacura, Region de Metropolitana, Chile","Vitacura,+Region+de+Metropolitana,+Chile",0,-33.3905211,-70.5724124,0,Metropolitana,
