day,region,date,region_lat,region_lon,n_obs,n_obsSymp,n_obsAsymp,Deaths,Pop
35,Valparaiso,4/7/2020,-33.0097842,-71.5517663,16,,,0,1960170.0
35,Metropolitana,4/7/2020,-33.3923636,-70.608036,106,,,2,8125072.0
35,Ohiggins,4/7/2020,-34.1547941,-70.76876290000001,0,,,0,991063.0
35,Maule,4/7/2020,-35.4270536,-71.6483745,0,,,1,1131939.0
35,Nuble,4/7/2020,-36.60968629999999,-72.12799759999999,48,,,1,511551.0
35,Biobio,4/7/2020,-36.8249391,-73.04013379999999,27,,,0,1663696.0
35,Araucania,4/7/2020,-38.736996600000005,-72.6018527,50,,,0,1014343.0
35,Los Rios,4/7/2020,-39.8185499,-73.2417066,5,,,1,405835.0
35,Los Lagos,4/7/2020,-41.449172600000004,-72.9594584,13,,,0,891440.0
35,Aysen,4/7/2020,-45.2066761,-72.6862988,0,,,0,107297.0
35,Magallanes,4/7/2020,-53.14809720000001,-70.9503614,19,,,0,178362.0
36,Arica y Parinacota,4/8/2020,-18.4781181,-70.3141952,10,,,0,252110.0
36,Tarapaca,4/8/2020,-20.2141288,-70.140672,3,,,0,382773.0
36,Antofagasta,4/8/2020,-22.4457586,-68.9203724,8,,,0,691854.0
36,Atacama,4/8/2020,-27.384218100000005,-70.3308447,2,,,0,314709.0
36,Coquimbo,4/8/2020,-29.9682462,-71.339197,4,,,0,836096.0
36,Valparaiso,4/8/2020,-33.0097842,-71.5517663,11,,,1,1960170.0
36,Metropolitana,4/8/2020,-33.3923636,-70.608036,198,,,2,8125072.0
36,Ohiggins,4/8/2020,-34.1547941,-70.76876290000001,1,,,0,991063.0
36,Maule,4/8/2020,-35.4270536,-71.6483745,11,,,0,1131939.0
36,Nuble,4/8/2020,-36.60968629999999,-72.12799759999999,39,,,0,511551.0
36,Biobio,4/8/2020,-36.8249391,-73.04013379999999,29,,,0,1663696.0
36,Araucania,4/8/2020,-38.736996600000005,-72.6018527,57,,,1,1014343.0
36,Los Rios,4/8/2020,-39.8185499,-73.2417066,5,,,0,405835.0
36,Los Lagos,4/8/2020,-41.449172600000004,-72.9594584,26,,,0,891440.0
36,Aysen,4/8/2020,-45.2066761,-72.6862988,0,,,0,107297.0
36,Magallanes,4/8/2020,-53.14809720000001,-70.9503614,26,,,1,178362.0
37,Arica y Parinacota,4/9/2020,-18.4781181,-70.3141952,12,,,0,252110.0
37,Tarapaca,4/9/2020,-20.2141288,-70.140672,3,,,0,382773.0
37,Antofagasta,4/9/2020,-22.4457586,-68.9203724,15,,,0,691854.0
37,Atacama,4/9/2020,-27.384218100000005,-70.3308447,2,,,0,314709.0
37,Coquimbo,4/9/2020,-29.9682462,-71.339197,5,,,0,836096.0
37,Valparaiso,4/9/2020,-33.0097842,-71.5517663,5,,,0,1960170.0
37,Metropolitana,4/9/2020,-33.3923636,-70.608036,284,,,7,8125072.0
37,Ohiggins,4/9/2020,-34.1547941,-70.76876290000001,1,,,0,991063.0
37,Maule,4/9/2020,-35.4270536,-71.6483745,9,,,0,1131939.0
