region,comuna,date,WeeklyCases,week,CumCases,Pop
Biobio,Antuco,Week 9: 04/19 to 04/25,0,9,0,4306
Biobio,Antuco,Week 10: 04/26 to 05/02,0,10,0,4306
Biobio,Antuco,Week 16: 06/07 to 06/13,0,16,0,4306
Biobio,Antuco,Week 7: 04/05 to 04/11,0,7,0,4306
Biobio,Antuco,Week 11: 05/03 to 05/09,0,11,0,4306
Biobio,Antuco,Week 6: 03/29 to 04/04,0,6,0,4306
Biobio,Antuco,Week 3: 03/08 to 03/14,0,3,0,4306
Biobio,Arauco,Week 9: 04/19 to 04/25,0,9,0,38679
Biobio,Arauco,Week 8: 04/12 to 04/18,0,8,0,38679
Biobio,Arauco,Week 7: 04/05 to 04/11,0,7,0,38679
Biobio,Arauco,Week 4: 03/15 to 03/21,0,4,0,38679
Biobio,Arauco,Week 0: 02/16 to 02/22,0,0,0,38679
Biobio,Arauco,Week 10: 04/26 to 05/02,0,10,0,38679
Biobio,Arauco,Week 3: 03/08 to 03/14,0,3,0,38679
Biobio,Arauco,Week 11: 05/03 to 05/09,0,11,0,38679
Biobio,Arauco,Week 12: 05/10 to 05/16,0,12,0,38679
Biobio,Arauco,Week 5: 03/22 to 03/28,0,5,0,38679
Biobio,Arauco,Week 6: 03/29 to 04/04,0,6,0,38679
Biobio,Arauco,Week 14: 05/24 to 05/30,0,14,0,38679
Biobio,Arauco,Week 13: 05/17 to 05/23,0,13,0,38679
Biobio,Arauco,Week 15: 05/31 to 06/06,0,15,0,38679
Biobio,Arauco,Week 1: 02/23 to 02/29,0,1,0,38679
Biobio,Arauco,Week 2: 03/01 to 03/07,0,2,0,38679
Biobio,Arauco,Week 16: 06/07 to 06/13,0,16,0,38679
Arica y Parinacota,Arica,Week 4: 03/15 to 03/21,0,4,0,247552
Arica y Parinacota,Arica,Week 0: 02/16 to 02/22,0,0,0,247552
Arica y Parinacota,Arica,Week 11: 05/03 to 05/09,0,11,0,247552
Arica y Parinacota,Arica,Week 12: 05/10 to 05/16,0,12,0,247552
Arica y Parinacota,Arica,Week 15: 05/31 to 06/06,0,15,0,247552
Arica y Parinacota,Arica,Week 16: 06/07 to 06/13,0,16,0,247552
Arica y Parinacota,Arica,Week 1: 02/23 to 02/29,0,1,0,247552
Arica y Parinacota,Arica,Week 3: 03/08 to 03/14,0,3,0,247552
Arica y Parinacota,Arica,Week 2: 03/01 to 03/07,0,2,0,247552
Arica y Parinacota,Arica,Week 8: 04/12 to 04/18,0,8,0,247552
Arica y Parinacota,Arica,Week 5: 03/22 to 03/28,0,5,0,247552
Arica y Parinacota,Arica,Week 13: 05/17 to 05/23,0,13,0,247552
Arica y Parinacota,Arica,Week 7: 04/05 to 04/11,0,7,0,247552
Arica y Parinacota,Arica,Week 6: 03/29 to 04/04,0,6,0,247552
Arica y Parinacota,Arica,Week 9: 04/19 to 04/25,0,9,0,247552
Arica y Parinacota,Arica,Week 14: 05/24 to 05/30,0,14,0,247552
Arica y Parinacota,Arica,Week 10: 04/26 to 05/02,0,10,0,247552
Aysen,Aysen,Week 4: 03/15 to 03/21,0,4,0,25002
Aysen,Aysen,Week 8: 04/12 to 04/18,0,8,0,25002
Aysen,Aysen,Week 11: 05/03 to 05/09,0,11,0,25002
