region_casen,comuna_code,comuna,inc_pc_comuna,poor_comuna,poor_ext_comuna,fonasa_comuna,Pop,area_km2,density
5,5801,Quilpue,367242.63,0.05186316,0.013559935,0.7367056,167085,535.963,311.74725
10,10210,Quinchao,199667.83,0.32256907,0.14483914,0.87202489,8298,156.022,53.184807
13,13126,Quinta Normal,285271.78,0.031986464,0.019113367,0.73147887,136368,11.6228,11732.801
6,6114,Quinta de Tilcoco,274167.66,0.1471412,0.020596474,0.87139559,13877,86.0288,161.30644
5,5107,Quintero,324322.84,0.042199075,0,0.74161565,36135,148.654,243.08125
16,16201,Quirihue,191382.88,0.16679919,0.04488029,0.81040728,12192,590.295,20.654079
6,6101,Rancagua,283410.63,0.10408273,0.023461947,0.76278692,265211,261.155,1015.531
16,16206,Ranquil,204768.42,0.044941232,0.025351463,0.82369208,6261,248.092,25.236607
7,7305,Rauco,217185.08,0.18511225,0.064986214,0.85575032,11248,305.433,36.826408
13,13127,Recoleta,348386,0.065492719,0.0215932,0.80707794,190075,15.7638,12057.689
9,9209,Renaico,231539.02,0.14841196,0.023820644,0.92223263,10833,265.034,40.874001
13,13128,Renca,297526.34,0.031599659,0.013840289,0.83406472,160847,24.0118,6698.665
6,6115,Rengo,242552.52,0.11013047,0.014194595,0.88242042,63710,584.873,108.92963
6,6116,Requinoa,213493.09,0.061327983,0,0.84024078,30371,676.452,44.897495
7,7405,Retiro,163758.36,0.27012876,0.053532928,0.93784267,21071,827.799,25.454247
5,5303,Rinconada,259339.84,0.10618532,0.022224836,0.89052212,11263,122.969,91.592194
14,14204,Rio Bueno,212962.88,0.16985218,0.037573051,0.88037127,32925,2177.69,15.119232
7,7108,Rio Claro,204024.47,0.088972434,0.003132832,0.84147871,14753,433.134,34.061054
4,4305,Rio Hurtado,191900.08,0.098492466,0.036934674,0.90979898,4372,2205.84,1.9820114
11,11402,Rio Ibanez,251667.23,0.088727675,0.021763394,0.84933037,2699,6038.29,0.44698086
10,10305,Rio Negro,319435,0.14832947,0.032637637,0.87674999,14275,1268.24,11.255756
7,7306,Romeral,229686.16,0.10345979,0.032727759,0.8864547,16170,1605.5,10.071629
9,9116,Saavedra,152007.09,0.32339829,0.066463009,0.95500332,12793,396.805,32.240017
7,7307,Sagrada Familia,195136.78,0.11408257,0.065265842,0.81884748,19469,552.581,35.232845
4,4204,Salamanca,238137.13,0.12700343,0.053902619,0.8645702,29110,3450.61,8.4361897
5,5601,San Antonio,222977.41,0.079483218,0.017009646,0.92930675,96761,407.957,237.18431
13,13401,San Bernardo,248210.28,0.096686624,0.022392489,0.8430326,334836,154.008,2174.1467
16,16301,San Carlos,237300.58,0.12638506,0.032403562,0.91810089,56252,876.302,64.192482
7,7109,San Clemente,195014.67,0.15625559,0.054840602,0.92105198,46292,4499.3,10.288712
5,5304,San Esteban,224285.3,0.11563215,0.020637199,0.87995321,20643,1376.92,14.992156
16,16304,San Fabian,225590.22,0.11361502,0.030985916,0.93082941,4654,1540.84,3.0204303
5,5701,San Felipe,331005.97,0.089880019,0.023995448,0.83246773,83494,186.446,447.81866
6,6301,San Fernando,248689.38,0.10311587,0.04018284,0.85072887,78642,2319.01,33.911884
16,16108,San Ignacio,145137.91,0.30372742,0.11108889,0.98092949,16624,363.489,45.734535
7,7406,San Javier,224612.83,0.20133156,0.052172862,0.88664812,49451,1316.79,37.554203
13,13129,San Joaquin,290623.38,0.050647914,0.001864728,0.85943425,103485,9.87688,10477.499
13,13203,San Jose de Maipo,340783.75,0.060439963,0.022582768,0.88043559,18644,4982.4,3.7419717
10,10306,San Juan de la Costa,190441.67,0.38678241,0.17527029,0.94974875,7639,1534.07,4.9795642
13,13130,San Miguel,482857.72,0.054881763,0.01588033,0.65891027,133059,9.63503,13809.921
16,16305,San Nicolas,192956.73,0.12866864,0.008428963,0.92139739,12172,565.517,21.523668
10,10307,San Pablo,216321.83,0.16038452,0.022261573,0.93283582,10553,630.65,16.733528
13,13505,San Pedro,229539.27,0.03489254,0,0.98836917,11953,793.837,15.057247
2,2203,San Pedro de Atacama,392855.81,0.019143788,0.003891869,0.86104977,10434,23590.6,0.44229481
8,8108,San Pedro de la Paz,426820.34,0.14231767,0.060960837,0.73140699,145906,112.869,1292.7021
7,7110,San Rafael,234212.05,0.025620496,0,0.90232188,9959,264.37,37.670689
13,13131,San Ramon,250926.34,0.042096116,0.005309542,0.89008838,86510,6.27361,13789.509
8,8310,San Rosendo,171134.75,0.1940625,0.069375001,0.92906249,3611,93.3898,38.665894
6,6117,San Vicente,270657.06,0.060533993,0.015887925,0.85351133,50617,483.903,104.60154
8,8311,Santa Barbara,221057.89,0.15854979,0.011972402,0.94832253,14592,1263.5,11.548872
6,6310,Santa Cruz,317779.81,0.045330845,0.005458544,0.8314476,41096,392.054,104.8223
8,8109,Santa Juana,255121.52,0.13918138,0.055613227,0.91124129,14779,777.309,19.013031
5,5706,Santa Maria,222194.08,0.13555424,0,0.92377949,16367,166.312,98.411423
13,13101,Santiago,580868.94,0.039352525,0.010630541,0.59472233,503147,22.77,22096.926
5,5606,Santo Domingo,352163,0.034472145,0,0.81040323,11934,535.37,22.291126
2,2103,Sierra Gorda,333208.97,0.045649074,0,0.83071804,1746,12833.9,0.13604595
13,13601,Talagante,411876.63,0.015218996,0.013789983,0.75723439,81838,128.056,639.07977
7,7101,Talca,300926.78,0.076100916,0.018084202,0.8331399,236724,231.84,1021.0662
8,8110,Talcahuano,313555.22,0.073198929,0.021394851,0.80659729,158345,92.4708,1712.3784
2,2104,Taltal,315114.97,0.010152863,0.003640915,0.82034361,13657,20292.9,0.67299402
9,9101,Temuco,362328.53,0.09945564,0.014617533,0.78660733,302931,465.476,650.79834
